Rock kestrel
Rock martin
Rock parrot
Rock partridge
Rock sparrow
Rockrunner
Rockwarbler
Roll's partridge
Rothschild's swift
Rouget's rail
Royal tern
Ruaha chat
Ruddy crake
Ruddy duck
Ruffed grouse
Rufous owl
Rufous wren
Saffron finch
Salvin's prion
San Blas jay
Sand martin
Sand partridge
Sanderling
Sandhill crane
Sandwich tern
Sapayoa
Sarus crane
Saunders's gull
Saunders's tern
Scaled dove
Scaly thrush
Scarce swift
Scarlet finch
Schwartz's antthrush
Sclater's lark
Sclater's wren
Scrub blackbird
Scrub greenlet
Sedge wren
Seram thrush
Serra finch
Shy heathwren
Sichuan jay
Sichuan thrush
Sichuan tit
Silver gull
Silver teal
Silverbird
Sind sparrow
Slaty finch
Small ground finch
Small tree finch
Smith's longspur
Snares snipe
Snoring rail
Snow bunting
Snow partridge
Snow petrel
Snow pigeon
Snowy owl
Sombre tit
Song parrot
Song sparrow
Sooty chat
Sooty grouse
Sooty gull
Sooty swift
Sooty tern
Sooty thrush
Souza's shrike
Speckled rail
Spix's macaw
Spotless crake
Spotted crake
Spotted dove
Spotted owl
Spotted rail
Spotted shag
Spotted wren
Spruce grouse
Steller's jay
Striped crake
Striped owl
Styan's bulbul
Stygian owl
Sultan tit
Sunbittern
Sunda teal
Sunda thrush
Surf scoter
Swainson's hawk
Swainson's thrush
Swamp boubou
Swamp harrier
Swamp nightjar
Swamp sparrow
Swee waxbill
Swift parrot
Swinhoe's rail
Swinhoe's snipe
Sykes's lark
Taita thrush
Talaud rail
Tawny owl
Temminck's lark
Temminck's stint
Tepui swift
Tepui wren
Thamnornis
Thekla's lark
Tickell's thrush
Tiger shrike
Tiny hawk
Tit hylia
Todd's antwren
Todd's nightjar
Todd's sirystes
Torrent duck
Torrent-lark
Tractrac chat
Tree martin
Tree pipit
Tree swallow
Tristan thrush
Tufted duck
Tufted jay
Tundra swan
Upland goose
Ural owl
Varied thrush
Varied tit
Várzea thrush
Vega gull
Violet crow
Wallcreeper
Ward's trogon
Water rail
Watercock
Wattled crane
Wattled guan
Western grebe
Western gull
Weyns's weaver
Whistling kite
White hawk
White stork
White tern
Whitehead
White's thrush
Whooper swan
Whooping crane
Wild turkey
Wilkins's finch
Williams's lark
Willow tit
Wilson's snipe
Winter wren
Wood pipit
Wood warbler
Woodchat shrike
Woodford's rail
Yap monarch
Yellow chat
Yellow rail
Yellow tit
Yellowhead
Yemen thrush
Yungas dove
Yungas guan
Zebra dove
Zebra finch
